chembl_id,name,smiles,max_phase,formula,chembl_mw
CHEMBL444,BARBITAL,CCC1(CC)C(=O)NC(=O)NC1=O,4.0,C8H12N2O3,184.19
CHEMBL42,CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,4.0,C18H19ClN4,326.83
CHEMBL445,NORTRIPTYLINE,CNCCC=C1c2ccccc2CCc2ccccc21,4.0,C19H21N,263.38
CHEMBL446,SULFAMETHAZINE,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,4.0,C12H14N4O2S,278.34
CHEMBL447,SECOBARBITAL,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,4.0,C12H18N2O3,238.29
CHEMBL448,PENTOBARBITAL,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,4.0,C11H18N2O3,226.28
CHEMBL7568,QUINACRINE,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,4.0,C23H30ClN3O,399.97
CHEMBL267894,AMOBARBITAL,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,4.0,C11H18N2O3,226.28
CHEMBL7728,HEXOBARBITAL,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,4.0,C12H16N2O3,236.27
CHEMBL449,BUTABARBITAL,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,4.0,C10H16N2O3,212.25
CHEMBL7863,APROBARBITAL,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,4.0,C10H14N2O3,210.23
CHEMBL450,METHARBITAL,CCC1(CC)C(=O)NC(=O)N(C)C1=O,4.0,C9H14N2O3,198.22
CHEMBL267719,ALLOBARBITAL,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,2.0,C10H12N2O3,208.22
CHEMBL451,CHLORDIAZEPOXIDE,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,4.0,C16H14ClN3O,299.76
CHEMBL266349,MELAGATRAN,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,4.0,C22H31N5O4,429.52
CHEMBL452,CLONAZEPAM,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,4.0,C15H10ClN3O3,315.72
CHEMBL453,SULFISOXAZOLE,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,4.0,C11H13N3O3S,267.31
CHEMBL268869,SULFAMETHOXYPYRIDAZINE,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,4.0,C11H12N4O3S,280.31
CHEMBL454,BUTALBITAL,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,4.0,C11H16N2O3,224.26
CHEMBL455,SULFACETAMIDE,CC(=O)NS(=O)(=O)c1ccc(N)cc1,4.0,C8H10N2O3S,214.25
CHEMBL43,AMSACRINE,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,4.0,C21H19N3O3S,393.47
CHEMBL7797,INDACRINONE,CC1(c2ccccc2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,2.0,C18H14Cl2O4,365.21
CHEMBL429405,SARCOLYSIN,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,2.0,C13H18Cl2N2O2,305.21
CHEMBL456,ETHACRYNIC ACID,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,4.0,C13H12Cl2O4,303.14
CHEMBL44,GENISTEIN,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,2.0,C15H10O5,270.24
CHEMBL7549,PRECLAMOL,CCCN1CCC[C@@H](c2cccc(O)c2)C1,2.0,C14H21NO,219.33
CHEMBL267744,TICRYNAFEN,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,4.0,C13H8Cl2O4S,331.18
CHEMBL7643,SULOFENUR,O=C(Nc1ccc(Cl)cc1)NS(=O)(=O)c1ccc2c(c1)CCC2,2.0,C16H15ClN2O3S,350.83
CHEMBL457,GEMFIBROZIL,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,4.0,C15H22O3,250.34
CHEMBL45,MELATONIN,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,4.0,C13H16N2O2,232.28
CHEMBL8085,LYSINE,NCCCC[C@H](N)C(=O)O,2.0,C6H14N2O2,146.19
CHEMBL7890,L-NAME,COC(=O)[C@@H](N)CCCNC(=N)N[N+](=O)[O-],2.0,C7H15N5O4,233.23
CHEMBL266510,FLINDOKALNER,COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21,3.0,C16H10ClF4NO2,359.71
CHEMBL8184,CARTAZOLATE,CCCCNc1c(C(=O)OCC)cnc2c1cnn2CC,2.0,C15H22N4O2,290.37
CHEMBL46,ONDANSETRON,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,4.0,C18H19N3O,293.37
CHEMBL8145,DAIDZEIN,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,2.0,C15H10O4,254.24
CHEMBL7983,PROPYL GALLATE,CCCOC(=O)c1cc(O)c(O)c(O)c1,1.0,C10H12O5,212.20
CHEMBL8148,TIENOXOLOL,CCOC(=O)c1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)(C)C,2.0,C21H28N2O5S,420.53
CHEMBL8030,TOLIMIDONE,Cc1cccc(Oc2cnc(=O)[nH]c2)c1,2.0,C11H10N2O2,202.21
CHEMBL8412,IPSAPIRONE,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1,2.0,C19H23N5O3S,401.49
CHEMBL49,BUSPIRONE,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,4.0,C21H31N5O2,385.51
CHEMBL8260,BAICALEIN,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,2.0,C15H10O5,270.24
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,3.0,C15H10O7,302.24
CHEMBL51,KETANSERIN,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,4.0,C22H22FN3O3,395.43
CHEMBL8273,SULOTROBAN,O=C(O)COc1ccc(CCNS(=O)(=O)c2ccccc2)cc1,2.0,C16H17NO5S,335.38
CHEMBL459,METHYLDOPA,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,4.0,C10H13NO4,211.22
CHEMBL460,MOLINDONE,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,4.0,C16H24N2O2,276.38
CHEMBL53,APOMORPHINE,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,4.0,C17H17NO2,267.33
CHEMBL54,HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.0,C21H23ClFNO2,375.87
CHEMBL8425,NAFAZATROM,CC1=NN(CCOc2ccc3ccccc3c2)C(=O)C1,2.0,C16H16N2O2,268.32
CHEMBL55,PENTAMIDINE,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,4.0,C19H24N4O2,340.43
CHEMBL463,AMINOHIPPURIC ACID,Nc1ccc(C(=O)NCC(=O)O)cc1,4.0,C9H10N2O3,194.19
CHEMBL464,ETRETINATE,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,4.0,C23H30O3,354.49
CHEMBL8514,BUTACLAMOL,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,2.0,C25H31NO,361.53
CHEMBL57,NEVIRAPINE,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,4.0,C15H14N4O,266.30
CHEMBL8659,OLEIC ACID,CCCCCCCC/C=C\CCCCCCCC(=O)O,2.0,C18H34O2,282.47
CHEMBL8706,CLORGILINE,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,2.0,C13H15Cl2NO,272.18
CHEMBL267476,LINOLEIC ACID,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,2.0,C18H32O2,280.45
CHEMBL8846,PRIFELONE,CC(C)(C)c1cc(C(=O)c2cccs2)cc(C(C)(C)C)c1O,2.0,C19H24O2S,316.47
CHEMBL8759,EGLUMETAD,N[C@@]1(C(=O)O)CC[C@H]2[C@H](C(=O)O)[C@H]21,2.0,C8H11NO4,185.18
CHEMBL465,DRONABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,4.0,C21H30O2,314.47
CHEMBL58,MITOXANTRONE,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,4.0,C22H28N4O6,444.49
CHEMBL59,DOPAMINE,NCCc1ccc(O)c(O)c1,4.0,C8H11NO2,153.18
CHEMBL267930,SPIPERONE,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,2.0,C23H26FN3O2,395.48
CHEMBL267473,DAZOXIBEN,O=C(O)c1ccc(OCCn2ccnc2)cc1,2.0,C12H12N2O3,232.24
CHEMBL267044,LEVOSULPIRIDE,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,2.0,C15H23N3O4S,341.43
CHEMBL8809,RACLOPRIDE,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,2.0,C15H20Cl2N2O3,347.24
CHEMBL8946,ETICLOPRIDE,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O,2.0,C17H25ClN2O3,340.85
CHEMBL267723,IOLOPRIDE,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(I)c1O,2.0,C15H21IN2O3,404.25
CHEMBL267932,MESPIPERONE,CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,2.0,C24H28FN3O2,409.51
CHEMBL467,HYDROXYUREA,NC(=O)NO,4.0,CH4N2O2,76.05
CHEMBL267227,DELTA-8-TETRAHYDROCANNABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21,2.0,C21H30O2,314.47
CHEMBL61,PODOFILOX,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,4.0,C22H22O8,414.41
CHEMBL8965,ROSARAMICIN,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C,2.0,C31H51NO9,581.75
CHEMBL63,ROLIPRAM,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,2.0,C16H21NO3,275.35
CHEMBL9298,FADROZOLE,N#Cc1ccc(C2CCCc3cncn32)cc1,2.0,C14H13N3,223.28
